DATESTAMP,COLOR,HHID,UNIQUE_HHID,HAVEPHONE,SPOUSEMOBILE,NUMOTHERPHONES,PRIMARYCOOK,AGE,FUEL,KNOWLUNCH,LUNCHYESTERDAY,WOODLASTWEEK,WOODLASTMONTH,GATHERWOODWEEK,GATHERLASTMONTH,VEHICLE,STOVES,DECISIONS,NOTES,DATESURVEY,PARISH,DATE,GROUP,MAXBID,MAXBIDNOVEL,SALE_DATE,SERIALNUMBER,PAID_PRICE,GENDER,STATUS,INCOME,HOWPAID,MAINEMPLOYER,TIMEEMPLOYED,HAVEPHONE1,SPOUSEMOBILE1,COWS,HOWMANYCOWS,VEHICLE1,TV,RADIO,FUEL1,WOODLASTWEEK1,WOODLASTMONTH1,GATHERWOODWEEK1,GATHERLASTMONTH1,STOVES1,PRIMARYCOOK1,PRIMARYCOOK2,DECISIONS1,DECISIONS2,TYPICALNUMEATING,WINNING_AMOUNT,WIN_TRADITIONAL_OFFER,WIN_NOVEL_OFFER,DEPOSIT_ON_SALES_DAY,PAID_IN_FULL,BALANCE_DUE_AFTER_SALES_MEETING,TOTAL_COLLECTED,RETURNED,DEFAULT,PAYMENT_COMPLETE,AMOUNT_REFUNDED,NOTES_WINNERS,DATE_SALE,FORECASTED_COLLECTION,ACTUAL_COLLECTION,FEMALE,HAVEPHONE2,VEHICLE_DISCRETE,BICYCLE_DUMMY,CAR_DUMMY,MOTORCYCLE_DUMMY,RADIO_DUMMY,BUYWOOD_DUMMY,GATHERWOOD_DUMMY,RESPONDENT_PRIMARY_COOK,HH_PHONES,WOOD,MARRIED1,MARRIED,TIME_EMPLOYED,WIFECOOK,JOINTDECISION,TSF_PRIMARY,SELFEMPLOYED
2/8/12 15:04,White,I,21,Yes,Yes but I don`t know the phone number,,Respondent,39,Wood,Yes,3,No,No,Yes,Yes,Bicycle,Built-in Mud Stove,Respondent & Spouse Jointly,Ok,8-Feb-12,Bujaga,2/8/12,No Message,30000,15000,,,,Female,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,Spouse owns phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,Built-in Mud Stove,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
2/8/12 16:43,Orange,M,27,Yes,Yes I can enter the phone number,,Spouse,27,Wood,No,,No,Yes,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,,,,,,,,Male,Married (monogamous),Yes,Cash only,Self-employed,Seasonal,Participant owns phone,Spouse owns phone,No,,Bicycle,No,Yes,Wood,No,Yes,Yes,Yes,None,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
2/8/12 15:46,Orange,U,49,No,Yes but I don`t know the phone number,,Respondent,60,Wood,Yes,6,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Saves Time and Money,10000,20000,,,,Female,Married (monogamous),Yes,Cash only,Self-employed,Seasonal,Participant does not own phone,Spouse owns phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had more than usual,,,,,,,,,,,,,,,,1,0,Bicycle,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1
2/8/12 14:54,White,O,35,No,No,,Respondent,51,Wood,Yes,2,No,No,Yes,Yes,None,Built-in Mud Stove,Respondent & Spouse Jointly,Ok,8-Feb-12,Bujaga,2/8/12,No Message,5000,10000,,,,Female,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant does not own phone,Spouse does not own phone,No,,None,No,No,Wood,No,No,Yes,Yes,Built-in Mud Stove,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,1,0,None,0,0,0,0,0,1,1,2,1,1,1,1,1,1,0,1
2/8/12 15:12,Pink,E,13,Yes,Yes I can enter the phone number,,Respondent,40,Wood,Yes,1,No,No,Yes,Yes,Bicycle,Charcoal Stove,Respondent & Spouse Jointly,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",40000,40000,,,,Female,Married (monogamous),Yes,Cash only,Self-employed,All year,Participant owns phone,Spouse owns phone,Yes,0-5 cows,Bicycle,Yes,Yes,Wood,No,No,Yes,Yes,Charcoal Stove,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
2/8/12 14:32,Yellow,G,17,No,No,,Respondent,45,Wood,Yes,2,No,No,Yes,Yes,None,None,Respondent,none,8-Feb-12,Bujaga,2/8/12,Improves Health,20000,20000,,,,Female,Married (monogamous),Yes,Cash and in-kind,Family member,All year,Participant does not own phone,Spouse does not own phone,No,,None,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Respondent,Wife,No we had less than usual,,,,,,,,,,,,,,,,1,0,None,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0
2/8/12 16:24,White,F,16,No,,,Other,14,Wood,Yes,4,No,No,Yes,Yes,None,None,Father or Mother,Ok,8-Feb-12,Bujaga,2/8/12,No Message,15000,20000,,,,Female,Single (never married),No,,,,Participant does not own phone,,No,,None,No,Yes,Wood,No,No,Yes,Yes,None,Other,Other,Father or Mother,Father or Mother,Yes,,,,,,,,,,,,,,,,1,0,None,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2/8/12 15:24,Yellow,K,25,No,No,,Respondent,37,Wood,Yes,2,Yes,No,Yes,Yes,None,None,Spouse,none,8-Feb-12,Bujaga,2/8/12,Improves Health,40000,40000,,,,Female,Married (monogamous),No,,,,Participant does not own phone,Spouse does not own phone,No,,None,No,Yes,Wood,Yes,No,Yes,Yes,None,Respondent,Wife,Spouse,Husband,Yes,,,,,,,,,,,,,,,,1,0,None,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
2/8/12 16:39,Orange,I,20,No,,,Other,24,Wood,No,,No,No,Yes,Yes,Bicycle,None,Father or Mother,none,8-Feb-12,Bujaga,,,,,,,,Male,Single (never married),Yes,Cash only,Self-employed,Seasonal,Participant does not own phone,,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Other,Other,Father or Mother,Father or Mother,,,,,,,,,,,,,,,,,0,0,Bicycle,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
2/8/12 16:42,White,M,28,Yes,No,,Spouse,70,Wood,Yes,4,No,No,Yes,Yes,None,Charcoal Stove,Respondent & Spouse Jointly,Interesting,8-Feb-12,Bujaga,2/8/12,No Message,8000,8000,,,,Male,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,Spouse does not own phone,Yes,0-5 cows,None,No,Yes,Wood,No,No,Yes,Yes,Charcoal Stove,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,0,1,None,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1
2/8/12 15:26,Orange,D,8,Yes,Yes I can enter the phone number,,Spouse,34,Wood,Yes,5,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Saves Time and Money,,20000,,,,Female,Married (monogamous),Yes,Cash only,Self-employed,Seasonal,Participant owns phone,Spouse owns phone,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Spouse,Husband,Respondent & Spouse Jointly,Wife & Husband Jointly,Yes,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1
2/8/12 16:36,Yellow,J,23,Yes,,,Respondent,42,Wood,Yes,5,Yes,Yes,No,No,None,Built-in Mud Stove,Respondent,none,8-Feb-12,Bujaga,2/8/12,Improves Health,55000,55000,,,,Female,Widow or Widower,Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,,Yes,0-5 cows,None,No,Yes,Wood,Yes,Yes,No,No,Built-in Mud Stove,Respondent,Wife,Respondent,Wife,No we had less than usual,,,,,,,,,,,,,,,,1,1,None,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1
2/8/12 15:10,Orange,Y,60,No,No,,Spouse,52,Wood,No,,No,No,Yes,Yes,None,Charcoal Stove,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,,,,,,,,Male,Married (monogamous),Yes,Cash only,Self-employed,Seasonal,Participant does not own phone,Spouse does not own phone,Yes,0-5 cows,None,No,Yes,Wood,No,No,Yes,Yes,Charcoal Stove,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,,,,,,,,,,,,,,,,,0,0,None,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1
2/8/12 16:40,Pink,B,5,No,Yes I can enter the phone number,,Respondent,35,Wood,Yes,4,No,Yes,Yes,Yes,Bicycle|Motorcycle,Charcoal Stove,Respondent,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",10000,30000,,,,Female,Married (monogamous),Yes,Cash only,Self-employed,All year,Participant does not own phone,Spouse owns phone,Yes,0-5 cows,Motorcycle,No,Yes,Wood,No,Yes,Yes,Yes,Charcoal Stove,Respondent,Wife,Respondent,Wife,No we had less than usual,,,,,,,,,,,,,,,,1,0,Bicycle|Motorcycle,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2/8/12 16:28,Yellow,S,46,Yesnonumber,No,,Spouse,40,Wood,Yes,4,No,No,Yes,Yes,None,None,Respondent,none,8-Feb-12,Bujaga,,,,,,,,Male,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,Spouse does not own phone,No,,None,No,Yes,Wood,No,No,Yes,Yes,None,Spouse,Wife,Respondent,Husband,No we had more than usual,,,,,,,,,,,,,,,,0,1,None,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1
2/8/12 14:05,Pink,U,50,Yes,Yes but I don`t know the phone number,,Respondent,28,Wood,Yes,3,Yes,Yes,Yes,Yes,Bicycle,None,Respondent,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",20000,25000,,,,Male,Married (monogamous),Yes,Cash only,Self-employed,All year,Participant owns phone,Spouse owns phone,No,,Bicycle,No,Yes,Wood,Yes,Yes,Yes,Yes,None,Respondent,Husband,Respondent,Husband,Yes,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
2/8/12 13:44,White,U,51,Yes,No,,Respondent,33,Wood,Yes,8,Yes,Yes,Yes,Yes,Bicycle,Built-in Mud Stove,Respondent & Spouse Jointly,Ok,8-Feb-12,Bujaga,2/8/12,No Message,10000,25000,,,,Female,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,Spouse does not own phone,No,,Bicycle,No,Yes,Wood,Yes,Yes,Yes,Yes,Built-in Mud Stove,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,Yes,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
2/8/12 15:38,Pink,R,44,Yesnonumber,Yes but I don`t know the phone number,,Respondent,39,Wood,Yes,4,No,No,Yes,Yes,Bicycle,None,Spouse,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",5000,5000,,,,Female,Married (monogamous),Yes,Cash only,Self-employed,All year,Participant owns phone,Spouse owns phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Spouse,Husband,No we had less than usual,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1
2/8/12 14:14,White,P,39,Yes,No,,Spouse,47,Wood,Yes,5,No,No,Yes,Yes,Bicycle,Built-in Mud Stove,Respondent & Spouse Jointly,Good,8-Feb-12,Bujaga,2/8/12,No Message,10000,10000,,,,Male,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,Spouse does not own phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,Built-in Mud Stove,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1
2/8/12 15:01,Orange,X,57,Yes,Yes I can enter the phone number,,Spouse,50,Wood,No,,No,No,Yes,Yes,Bicycle,Charcoal Stove,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Saves Time and Money,15000,20000,,,,Male,Married (monogamous),Yes,Cash only,Self-employed,All year,Participant owns phone,Spouse owns phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,Charcoal Stove,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1
2/8/12 15:29,White,X,58,No,,,Children,87,Wood,Yes,4,No,No,Yes,Yes,None,None,Respondent,She was glad,8-Feb-12,Bujaga,2/8/12,No Message,20000,100000,,,,Female,Widow or Widower,Yes,Cash and in-kind,Self-employed,All year,Participant does not own phone,,No,,None,No,No,Wood,No,No,Yes,Yes,None,Children,Children,Respondent,Wife,No we had less than usual,,,,,,,,,,,,,,,,1,0,None,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
2/8/12 16:33,White,B,6,Yes,No,,Respondent,23,Wood,Yes,2,No,Yes,Yes,Yes,Bicycle,None,Respondent,Good,8-Feb-12,Bujaga,2/8/12,No Message,5000,7000,,,,Male,Married (monogamous),Yes,Cash and in-kind,Non-family member,All year,Participant owns phone,Spouse does not own phone,No,,Bicycle,No,Yes,Wood,No,Yes,Yes,Yes,None,Respondent,Husband,Respondent,Husband,Yes,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0
2/8/12 16:28,Pink,O,34,No,No,1,Spouse,26,Wood,Yes,3,No,No,Yes,Yes,Bicycle,Charcoal Stove,Respondent,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",30000,50000,,,,Male,Married (monogamous),Yes,Cash only,Non-family member,All year,Participant does not own phone,Spouse does not own phone,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,Charcoal Stove,Spouse,Wife,Respondent,Husband,No we had less than usual,,,,,,,,,,,,,,,,0,0,Bicycle,1,0,0,1,0,1,0,2,1,1,1,1,1,0,0,0
2/8/12 16:46,Pink,P,38,Yes,Yes I can enter the phone number,,Spouse,39,Wood,Yes,4,No,No,Yes,Yes,Bicycle|Car|Motorcycle,Charcoal Stove,Respondent & Spouse Jointly,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",30000,30000,,,,Male,Married (monogamous),Yes,Cash only,Non-family member,All year,Participant owns phone,Spouse owns phone,No,,Car,Yes,Yes,Wood,No,No,Yes,Yes,Charcoal Stove,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,0,1,Bicycle|Car|Motorcycle,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
2/8/12 16:36,Orange,Q,41,Yes,Yes I can enter the phone number,,Spouse,40,Wood,No,,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Saves Time and Money,25000,40000,,,,Male,Married (monogamous),Yes,Cash only,Self-employed,Seasonal,Participant owns phone,Spouse owns phone,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1
2/8/12 16:30,Orange,Z,63,Yes,Yes I can enter the phone number,,Spouse,23,Wood,No,,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Saves Time and Money,10000,40000,,,,Male,Married (monogamous),Yes,Cash only,Self-employed,All year,Participant owns phone,Spouse owns phone,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
2/8/12 16:47,White,V,55,No,No,,Respondent,30,Wood,Yes,3,No,No,Yes,Yes,None,None,Respondent & Spouse Jointly,Ok,8-Feb-12,Bujaga,2/8/12,No Message,5000,8000,,,,Female,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant does not own phone,Spouse does not own phone,No,,None,No,No,Wood,No,No,Yes,Yes,None,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,1,0,None,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
2/8/12 16:24,Yellow,M,29,Yes,No,,Spouse,30,Wood,Yes,3,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Improves Health,40000,40000,,,,Male,Married (monogamous),Yes,Cash only,Non-family member,All year,Participant owns phone,Spouse does not own phone,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,Yes,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0
2/8/12 15:22,White,H,18,Yes,Yes but I don`t know the phone number,,Respondent,30,Wood,Yes,6,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,She was happy,8-Feb-12,Bujaga,2/8/12,No Message,15000,30000,,,,Female,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,Spouse owns phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,Yes,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
2/8/12 16:32,Yellow,O,36,No,No,,Spouse,64,Wood,Yes,6,No,No,Yes,Yes,None,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Improves Health,1000,1000,,,,Male,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant does not own phone,Spouse does not own phone,No,,None,No,Yes,Wood,No,No,Yes,Yes,None,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,Yes,,,,,,,,,,,,,,,,0,0,None,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1
2/8/12 15:26,Pink,J,22,Yes,Yes I can enter the phone number,,Respondent,25,Wood,Yes,2,No,No,Yes,Yes,Bicycle,Charcoal Stove,Spouse,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",10000,12000,,,,Female,Married (monogamous),Yes,Cash only,Self-employed,All year,Participant owns phone,Spouse owns phone,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,Charcoal Stove,Respondent,Wife,Spouse,Husband,No we had less than usual,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1
2/8/12 15:02,Yellow,Q,43,Yes,,,Respondent,42,Wood,Yes,5,No,No,Yes,Yes,None,Built-in Mud Stove,Respondent,none,8-Feb-12,Bujaga,2/8/12,Improves Health,20000,20000,,,,Female,Widow or Widower,Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,,Yes,0-5 cows,None,No,Yes,Wood,No,No,Yes,Yes,Built-in Mud Stove,Respondent,Wife,Respondent,Wife,Yes,,,,,,,,,,,,,,,,1,1,None,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1
